# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	6296
#@/user_id	f9354129-e4a8-46a3-a49d-309797c018cb
a 	啊	c=29 d=2.32019 t=6251
bi jiao xiao de shi hou 	比較小的時候	c=1 d=1 t=2626
bi jing 	畢竟	c=1 d=1 t=3170
bi li 	比例	c=1 d=1 t=4752
bi mian 	避免	c=0 d=0.1 t=1511
bi ru 	比如	c=9 d=2.05136 t=6095
bi tu 	閉圖	c=1 d=1 t=2241
bi wo 	比我	c=2 d=1.9802 t=3899
bi xu 	必須	c=1 d=0.1 t=6254
bi xu ba 	必須把	c=1 d=1 t=4124
bi xu shi yong 	必須使用	c=1 d=1 t=436
bi xu yao 	必須要	c=2 d=1 t=5509
bi yao 	必要	c=1 d=1 t=6005
bi ye 	畢業	c=2 d=0.695361 t=6274
bi ye de shi hou 	畢業的時候	c=1 d=1 t=6275
bi ye lv xing 	畢業旅行	c=1 d=1 t=3860
bi zhi qian 	比之前	c=1 d=1 t=5816
bian 	便	c=0 d=0.1 t=6086
bian 	變	c=0 d=0.1 t=115
bian 	邊	c=2 d=1.99501 t=6089
bian cheng 	變成	c=1 d=1.00001 t=5586
bian cheng le 	變成了	c=1 d=1 t=163
bian de 	變得	c=1 d=1 t=192
bian hao le 	變好了	c=1 d=1 t=6301
bian hua 	變化	c=3 d=1.99005 t=5577
bian hui qu 	變回去	c=0 d=0.1 t=3000
bian hui qu le 	變回去了	c=1 d=1 t=3001
bian ji 	編輯	c=3 d=2.99399 t=4945
bian ji mo shi 	編輯模式	c=1 d=1 t=4927
bian liang 	變量	c=2 d=1 t=3917
bian mo yu 	便摸魚	c=1 d=1 t=6087
bian tai 	變態	c=0 d=0.100003 t=4241
bian tai a 	變態啊	c=1 d=1 t=2188
bian xie 	編寫	c=1 d=1 t=1543
bian yi 	編譯	c=1 d=1 t=5761
biao 	表	c=3 d=1.98735 t=3354
biao dan 	表單	c=1 d=1 t=39
biao ge 	表格	c=9 d=1.00198 t=5476
biao hong 	標紅	c=2 d=1.66365 t=357
biao nei 	表內	c=1 d=1 t=2993
biao shi 	標識	c=0 d=0.1 t=5343
biao shi 	表示	c=3 d=1.36972 t=5505
biao shi le 	標識了	c=1 d=1 t=5344
biao ti 	標題	c=3 d=1.00133 t=4708
biao wai mian 	表外面	c=1 d=1 t=2987
biao zhong 	表中	c=2 d=1.94649 t=5675
biao zhun 	標準	c=1 d=1 t=3974
bie ren 	別人	c=1 d=1 t=4274
bie wen 	別問	c=1 d=1 t=5928
bie xiang 	別想	c=1 d=1 t=5881
bie zheng 	別整	c=1 d=1 t=4390
bing 	並	c=4 d=1.03499 t=5382
bing bu 	並不	c=0 d=0.1 t=169
bing bu chu li 	並不處理	c=1 d=1 t=170
bing bu cun zai 	並不存在	c=1 d=1 t=2273
bing bu zhi dao 	並不知道	c=0 d=0.1 t=3873
bing fan hui 	並返回	c=1 d=1 t=5173
bing gei 	並給	c=0 d=0.1 t=2981
bing gei ta 	並給它	c=1 d=1 t=2982
bing lie 	並列	c=1 d=1 t=2116
bing mei you 	並沒有	c=1 d=1 t=325
bing pai 	並排	c=0 d=0.1 t=974
bing pai de 	並排的	c=1 d=1 t=975
bing qie 	並且	c=5 d=1.24318 t=4859
bing yong 	並用	c=0 d=0.1 t=2858
bing yong lai 	並用來	c=1 d=1 t=2859
bo bi 	博比	c=1 d=1 t=5065
bu 	不	c=1 d=0.10004 t=6125
bu bian 	不變	c=3 d=1.60957 t=5620
bu chao guo 	不超過	c=2 d=1.05287 t=5749
bu chong fu 	不重複	c=2 d=1.68729 t=4609
bu cong 	不從	c=1 d=1 t=5601
bu cun zai 	不存在	c=0 d=0.1 t=2272
bu da 	不大	c=2 d=0.373898 t=6222
bu da 	不打	c=0 d=0.1 t=4167
bu dai 	不帶	c=0 d=0.1 t=4498
bu dai dian 	不帶點	c=1 d=1 t=4499
bu dai wo men yi qi 	不帶我們一起	c=1 d=1 t=3822
bu de bu ti 	不得不提	c=0 d=0.1 t=76
bu de bu ti le 	不得不提了	c=2 d=1.8781 t=103
bu deng yu 	不等於	c=1 d=1 t=4695
bu dong 	不動	c=0 d=0.100042 t=1723
bu dong zhe ge le 	不動這個了	c=1 d=1 t=168
bu dui 	不對	c=2 d=1.00002 t=5462
bu dui de 	不對的	c=1 d=1 t=3613
bu fa sheng 	不發生	c=2 d=1.99005 t=98
bu fang 	不放	c=2 d=1.8825 t=4294
bu fen 	不分	c=1 d=1 t=5844
bu fen 	部分	c=3 d=1.18087 t=6314
bu fen xuan 	部分選	c=1 d=1 t=1917
bu gai 	不改	c=1 d=1 t=659
bu gai 	不該	c=0 d=0.1 t=1878
bu gai zuo de shi 	不該做的事	c=1 d=1 t=1879
bu gao 	不高	c=1 d=1 t=130
bu gou 	不夠	c=1 d=0.100014 t=5824
bu gou de 	不夠的	c=1 d=1 t=5825
bu gou hao 	不夠好	c=1 d=1 t=1166
bu gou qing chu 	不夠清楚	c=1 d=1 t=3339
bu gou shu shi 	不夠舒適	c=1 d=1 t=3609
bu gu ding 	不固定	c=1 d=1 t=4722
bu guan 	不管	c=0 d=0.1 t=4723
bu guan yong 	不管用	c=1 d=1 t=4371
bu gui fan 	不規範	c=1 d=1 t=1829
bu guo 	不過	c=13 d=2.97848 t=5332
bu hao 	不好	c=1 d=1 t=6116
bu hao kan 	不好看	c=1 d=1 t=5052
bu hao shuo 	不好說	c=1 d=1 t=4977
bu he li 	不合理	c=0 d=0.1 t=114
bu hua dong 	不滑動	c=1 d=1 t=2104
bu huan hang 	不換行	c=3 d=1.00878 t=5801
bu hui 	不會	c=11 d=1.54258 t=6232
bu hui ba 	不會吧	c=1 d=1 t=4746
bu hui shi 	不會是	c=1 d=1 t=5482
bu hui you 	不會有	c=0 d=0.1 t=4712
bu hui you wen ti 	不會有問題	c=1 d=1 t=4713
bu jian le 	不見了	c=3 d=1.11476 t=2435
bu jian yi 	不建議	c=2 d=1.89137 t=6268
bu jin xing 	不進行	c=1 d=1 t=53
bu ju 	佈局	c=5 d=1.0674 t=5871
bu kan 	不看	c=0 d=0.1 t=4021
bu ke qi 	不客氣	c=1 d=1 t=3632
bu ke yi 	不可以	c=1 d=1 t=5263
bu li jie 	不理解	c=2 d=1 t=4688
bu lian qi lai 	不連起來	c=1 d=1 t=3263
bu liao 	不了	c=0 d=0.100007 t=3664
bu liao le 	不了了	c=0 d=0.1 t=3559
bu liao le 	不聊了	c=1 d=1 t=2959
bu man 	不滿	c=1 d=1 t=2678
bu neng 	不能	c=8 d=1.99501 t=5843
bu neng you 	不能有	c=1 d=1 t=4204
bu nong 	不弄	c=1 d=1 t=2101
bu qie 	不切	c=1 d=1 t=2169
bu qing bu chu 	不清不楚	c=1 d=1 t=5043
bu quan shi 	不全是	c=0 d=0.1 t=3167
bu que ding 	不確定	c=2 d=1.99501 t=5259
bu ran 	不然	c=3 d=1.05698 t=6272
bu rang 	不讓	c=1 d=0.100452 t=5123
bu rang kan le ma 	不讓看了嗎	c=1 d=1 t=3995
bu ru 	不如	c=2 d=1.99501 t=6206
bu ru shuo shi 	不如說是	c=1 d=1 t=6063
bu shang 	不上	c=0 d=0.1 t=3646
bu shao 	不少	c=0 d=0.1 t=149
bu shi 	不是	c=15 d=2.93111 t=6165
bu shi ba 	不是吧	c=1 d=1 t=5705
bu shi jia ban 	不是加班	c=1 d=1 t=6169
bu shi shuo 	不是說	c=0 d=0.1 t=5002
bu shi yi ge 	不是一個	c=1 d=1 t=1499
bu shu 	部署	c=15 d=4.18047 t=5994
bu shu fu 	不舒服	c=1 d=1 t=4597
bu shu shang qu 	部署上去	c=1 d=1 t=5038
bu suan 	不算	c=1 d=1 t=5280
bu tai 	不太	c=2 d=1.0001 t=5038
bu tai hao 	不太好	c=0 d=0.1 t=3885
bu tai he shi 	不太合適	c=1 d=1 t=4743
bu tai ke neng 	不太可能	c=1 d=1 t=2961
bu tai li jie 	不太理解	c=1 d=1 t=3405
bu tai man yi 	不太滿意	c=1 d=1 t=2641
bu tai neng 	不太能	c=2 d=1.00687 t=3383
bu tai qing chu 	不太清楚	c=0 d=0.1 t=5369
bu tai que ding 	不太確定	c=3 d=1.93757 t=2028
bu tai xian shi a 	不太現實啊	c=1 d=1 t=1592
bu tai xing 	不太行	c=2 d=1.00273 t=2280
bu tai xu yao ba 	不太需要吧	c=1 d=1 t=4720
bu ti 	不提	c=1 d=1 t=4731
bu tie 	補貼	c=1 d=1 t=6212
bu tong 	不同	c=7 d=1.68787 t=6073
bu tong de 	不同的	c=7 d=2.24322 t=5833
bu tong luo ji 	不同邏輯	c=1 d=1 t=419
bu tong se xi 	不同色系	c=1 d=1 t=3887
bu tou ming du 	不透明度	c=1 d=1 t=3870
bu wan 	不完	c=0 d=0.1 t=5435
bu wan 	不晚	c=0 d=0.1 t=6103
bu wan zheng 	不完整	c=2 d=1 t=5586
bu wen 	不問	c=0 d=0.1 t=3939
bu wen ta le 	不問他了	c=1 d=1 t=3940
bu xi ya 	不洗牙	c=1 d=1 t=6126
bu xian shi 	不顯示	c=2 d=1.76338 t=5300
bu xiang 	不想	c=0 d=0.1 t=5989
bu xiang gai le 	不想改了	c=1 d=1 t=5990
bu xin 	不信	c=0 d=0.1 t=4023
bu xing 	不行	c=3 d=1.00003 t=5467
bu xing le 	不行了	c=1 d=0.570011 t=3795
bu xu yao 	不需要	c=15 d=1.11848 t=5759
bu xu yao 	補虛藥	c=1 d=1 t=451
bu xuan 	不宣	c=0 d=0.1 t=5836
bu yao 	不要	c=2 d=1.0228 t=5358
bu yao shi yong 	不要使用	c=1 d=1 t=4571
bu ye 	不也	c=0 d=0.1 t=6093
bu ye qu 	不也去	c=1 d=1 t=6094
bu ye shi 	不也是	c=1 d=1 t=1775
bu yi ding 	不一定	c=1 d=0.100388 t=6307
bu yi ding zhun 	不一定準	c=1 d=1 t=6308
bu yi yang 	不一樣	c=1 d=1 t=4200
bu yi yang de 	不一樣的	c=1 d=1 t=3655
bu ying gai 	不應該	c=1 d=1 t=4661
bu ying xiang 	不影響	c=2 d=1 t=5563
bu yong 	不用	c=5 d=1.61213 t=5395
bu yong le ba 	不用了吧	c=1 d=1 t=1129
bu yuan 	不遠	c=1 d=1 t=3372
bu zai 	不再	c=4 d=1.00489 t=3829
bu zai gong kai 	不再公開	c=1 d=1 t=1209
bu zai xu yao 	不再需要	c=1 d=1 t=4898
bu zai yi 	不在意	c=0 d=0.1 t=1905
bu zai yi zhe ge 	不在意這個	c=1 d=1 t=1906
bu zen me 	不怎麼	c=1 d=1 t=5701
bu zhan 	不展	c=0 d=0.1 t=3838
bu zhan kai 	不展開	c=1 d=1 t=3839
bu zhan shi 	不展示	c=2 d=1.99005 t=2681
bu zhao ji 	不着急	c=1 d=1 t=6007
bu zhi 	不止	c=0 d=0.1 t=4332
bu zhi chi 	不支持	c=2 d=1.00719 t=5877
bu zhi dao 	不知道	c=12 d=1.74491 t=6006
bu zhi guan de 	不直觀的	c=1 d=1 t=4290
bu zhi jie 	不直接	c=1 d=1 t=3136
bu zhi yi ge 	不止一個	c=1 d=1 t=4333
bu zhun 	不准	c=1 d=1 t=3849
bu zi ran 	不自然	c=1 d=1 t=2633
bu zu 	不足	c=1 d=1.00004 t=3641
bu zuo 	不坐	c=1 d=1 t=2796
cai 	才	c=4 d=1.0001 t=6291
cai gai de 	才改的	c=1 d=1 t=4905
cai hui 	纔會	c=2 d=1 t=5531
cai kai shi 	纔開始	c=0 d=0.1 t=1115
cai ke yi 	纔可以	c=4 d=1.00011 t=5856
cai na 	採納	c=1 d=1 t=101
cai neng 	才能	c=3 d=1.00001 t=5933
cai neng kan le 	才能看了	c=1 d=1 t=4017
cai shi 	纔是	c=1 d=1 t=252
cai wo 	裁我	c=1 d=1 t=2195
cai xing 	纔行	c=2 d=1 t=6000
cai ying gai 	才應該	c=1 d=1 t=1684
cai yong 	採用	c=2 d=1.02375 t=2945
can kao 	參考	c=7 d=2.1926 t=5592
can shu 	參數	c=5 d=1.00006 t=5075
can yu 	參與	c=1 d=1 t=5593
cao kong 	操控	c=1 d=1 t=4658
cao zuo 	操作	c=0 d=0.1 t=3880
ce 	測	c=2 d=1 t=5094
ce bu liao 	測不了	c=1 d=1 t=824
ce dao 	測到	c=1 d=1 t=830
ce shi 	測試	c=0 d=0.117864 t=1340
ce shi le ya 	測試了呀	c=1 d=1 t=870
ce shi ma 	測試嗎	c=1 d=1 t=1341
ce shi shi jian 	測試時間	c=0 d=0.1 t=4403
ce shi shi jian dou mei you 	測試時間都沒有	c=1 d=1 t=4404
ce shi shu ju 	測試數據	c=1 d=1 t=4414
ce shi xia lai 	測試下來	c=1 d=1 t=845
ce su 	測速	c=1 d=1 t=5668
ceng 	層	c=0 d=0.1 t=1243
ceng ji 	層級	c=1 d=1.07153 t=2724
cha 	叉	c=1 d=1 t=2049
cha 	查	c=6 d=1.43213 t=3671
cha bie bu da 	差別不大	c=1 d=1 t=5984
cha bu dao 	查不到	c=1 d=1 t=742
cha bu duo 	差不多	c=4 d=1.64594 t=5915
cha bu duo de 	差不多的	c=1 d=1 t=6010
cha bu duo le 	差不多了	c=1 d=1 t=4172
cha cha 	叉叉	c=1 d=1 t=2838
cha chu lai 	查出來	c=1 d=1 t=1883
cha kan 	查看	c=1 d=1 t=4729
cha le 	查了	c=0 d=0.100002 t=4034
cha le dian 	差了點	c=1 d=1 t=6311
cha ming 	查明	c=0 d=0.1 t=5737
cha suo you 	查所有	c=1 d=1 t=1590
cha xun 	查詢	c=2 d=1.00249 t=4564
cha zhao 	查找	c=0 d=0.1 t=5739
chan chan 	剷剷	c=0 d=0.1 t=3230
chan pin 	產品	c=1 d=1 t=3934
chan sheng 	產生	c=0 d=0.1 t=84
chang 	長	c=1 d=1 t=4827
chang ge 	唱歌	c=1 d=1 t=6098
chang jian 	常见	c=2 d=1.84583 t=6080
chang jian de 	常見的	c=1 d=1 t=6038
chang jing 	場景	c=3 d=1.73665 t=3515
chang shi 	嘗試	c=3 d=1.02252 t=5398
chang shi le 	嘗試了	c=1 d=1 t=270
chao chu 	超出	c=1 d=1 t=5872
chao da 	超大	c=1 d=1 t=4706
chao guo 	超過	c=2 d=0.240721 t=5559
chao guo yi zhou 	超過一周	c=1 d=1 t=5560
chao shi 	超時	c=1 d=1 t=3798
chao xia 	朝下	c=1 d=1 t=1442
chao you 	朝右	c=1 d=1 t=1439
che 	車	c=1 d=1.04176 t=4685
che dao 	扯到	c=1 d=1 t=6231
che diao 	撤掉	c=0 d=0.1 t=1623
che diao le 	撤掉了	c=1 d=1 t=1624
che wei 	車位	c=0 d=0.1 t=1641
che wei ba 	車位吧	c=1 d=1 t=1642
cheng 	成	c=6 d=1.00625 t=5287
cheng 	橙	c=1 d=1 t=6058
cheng du 	程度	c=1 d=0.538235 t=3741
cheng gong 	成功	c=4 d=1.01139 t=5969
cheng gong le 	成功了	c=1 d=0.150037 t=5906
cheng gong le ma 	成功了嗎	c=1 d=1 t=5907
cheng qian 	成千	c=1 d=1 t=2268
cheng se 	橙色	c=1 d=1 t=4589
cheng xian 	呈現	c=1 d=1 t=2821
chi cun 	尺寸	c=1 d=1 t=2638
chi dong xi 	喫東西	c=1 d=1 t=6080
chi fan 	喫飯	c=0 d=0.1 t=1060
chi fan qu le 	喫飯去了	c=1 d=1 t=1061
chi ma 	尺碼	c=2 d=1.84789 t=3656
chi wo 	喫我	c=1 d=1 t=5957
chong die 	重疊	c=1 d=1 t=4650
chong fu 	重複	c=1 d=1.00011 t=5890
chong fu de 	重複的	c=1 d=1 t=5246
chong gou 	重構	c=1 d=1.00001 t=2377
chong gou yi xia 	重構一下	c=1 d=1 t=610
chong jian 	重建	c=1 d=1 t=5131
chong tu 	衝突	c=3 d=1.00003 t=2349
chong xie 	重寫	c=0 d=0.100001 t=3485
chong xie de 	重寫的	c=1 d=1 t=1164
chong xie yi bian 	重寫一遍	c=1 d=1 t=3486
chong xin 	重新	c=5 d=2.85572 t=5884
chou xiang 	抽象	c=2 d=1.00001 t=6280
chou xiang yi dian 	抽象一點	c=1 d=1 t=3953
chu 	出	c=3 d=1.015 t=5400
chu 	初	c=1 d=1 t=5657
chu 	處	c=1 d=1 t=378
chu 	除	c=1 d=1 t=6088
chu ci 	初次	c=1 d=1 t=292
chu fei 	除非	c=3 d=1.0216 t=5820
chu lai 	出來	c=7 d=1.34129 t=6149
chu lai de 	出來的	c=1 d=0.100016 t=6405
chu lai le 	出來了	c=2 d=1.01105 t=4949
chu le 	出了	c=1 d=1.06281 t=6084
chu le 	除了	c=0 d=0.1 t=3017
chu le ge 	出了個	c=1 d=1 t=5992
chu le wo 	除了我	c=1 d=1 t=3018
chu li 	處理	c=6 d=1.02511 t=5663
chu li de 	處理的	c=1 d=1 t=3520
chu li neng li 	處理能力	c=1 d=1 t=3104
chu mo ban 	觸摸板	c=1 d=1 t=3767
chu shi 	初始	c=1 d=1 t=409
chu shi hua 	初始化	c=1 d=1 t=344
chu xian 	出現	c=5 d=1.84279 t=5125
chu xian le 	出現了	c=2 d=1.03615 t=4743
chu xian zai 	出現在	c=2 d=1.00011 t=4741
chu yu 	處於	c=1 d=1 t=2135
chu zhong 	初中	c=1 d=0.100019 t=6064
chu zhong zuo de 	初中做的	c=1 d=1 t=6065
chu zu wu 	出租屋	c=1 d=1 t=3216
chuan 	傳	c=0 d=0.1 t=1365
chuan 	穿	c=1 d=1.16671 t=3664
chuan bu liao 	穿不了	c=1 d=1 t=3665
chuan bu shang 	穿不上	c=1 d=1 t=3647
chuan di 	傳遞	c=2 d=0.1 t=5864
chuan di shu ju 	傳遞數據	c=1 d=1 t=5865
chuan guo lai 	傳過來	c=0 d=0.1 t=6342
chuan guo lai de 	傳過來的	c=1 d=1 t=6343
chuan ru 	傳入	c=4 d=1.14603 t=3193
chuang jian 	創建	c=29 d=1.21804 t=5385
chuang jian de 	創建的	c=1 d=1 t=3494
chuang jian ren wu 	創建任務	c=1 d=1 t=894
chuang jian yi ge 	創建一個	c=3 d=1 t=3125
ci shi 	此時	c=1 d=1 t=1999
ci yao 	次要	c=1 d=1 t=2533
cong 	從	c=18 d=1.9189 t=6351
cong di er lie 	從第二列	c=1 d=1 t=2866
cong er 	從而	c=1 d=1 t=5244
cong er bi mian 	從而避免	c=1 d=1 t=1512
cong ming 	從命	c=1 d=1 t=5104
cong wai bu 	從外部	c=1 d=1 t=262
cong yi ge 	從一個	c=1 d=1 t=3975
cong yi kai shi 	從一開始	c=1 d=1 t=5853
cong you 	從右	c=1 d=1 t=5596
cui 	催	c=0 d=0.1 t=5333
cui le 	催了	c=1 d=1 t=5350
cun 	存	c=1 d=1 t=6041
cun qi lai 	存起來	c=1 d=1 t=5942
cun xia 	存下	c=0 d=0.1 t=1775
cun xia lai 	存下來	c=1 d=1 t=1776
cun zai 	存在	c=1 d=1.00032 t=4770
cuo 	錯	c=1 d=1 t=5646
cuo le 	错了	c=1 d=1 t=4691
cuo na le 	錯哪了	c=1 d=1 t=4817
cuo wu 	錯誤	c=5 d=1.31506 t=5993
da 	大	c=5 d=1.38809 t=5889
da bao 	打包	c=0 d=0.1 t=4381
da bao shi 	打包時	c=1 d=1 t=4382
da bu fen 	大部分	c=6 d=1.00254 t=5948
da bu kai 	打不開	c=1 d=1 t=5451
da de 	大的	c=1 d=0.1 t=4137
da de shu 	大的樹	c=1 d=1 t=4138
da duo 	大多	c=1 d=1 t=4516
da gai 	大概	c=2 d=1.94649 t=2021
da gang 	大綱	c=2 d=1.96079 t=5903
da guo 	打過	c=0 d=0.1 t=2607
da guo zhao hu le 	打過招呼了	c=1 d=1 t=2608
da hao 	大號	c=1 d=1 t=3638
da kai 	打開	c=3 d=0.261424 t=5989
da kai de 	打開的	c=1 d=1 t=2206
da kai ma 	打開嗎	c=1 d=1 t=5990
da pei 	搭配	c=1 d=1.09608 t=4248
da pei de 	搭配的	c=1 d=1 t=4241
da qi 	大氣	c=1 d=1 t=3985
da suan 	打算	c=1 d=1 t=3941
da xiao 	大小	c=0 d=0.1 t=3857
da xie 	大寫	c=1 d=1 t=2647
da yi dian 	大一點	c=0 d=0.1 t=5680
da yi dian ba 	大一點吧	c=1 d=1 t=5681
da yi yuan 	大醫院	c=1 d=1 t=6262
da yin 	打印	c=1 d=1 t=3213
da zhang qi gu 	大张旗鼓	c=1 d=1 t=6233
da zi 	大字	c=1 d=1 t=4804
dai 	帶	c=2 d=1.12212 t=6074
dai 	待	c=1 d=1 t=6284
dai biao 	代表	c=2 d=1.98511 t=2814
dai de 	帶的	c=0 d=0.1 t=6051
dai ma 	代碼	c=7 d=0.124106 t=5402
dai ma zen me xie de 	代碼怎麼寫的	c=1 d=1 t=3930
dai mao zi 	戴帽子	c=1 d=1 t=3604
dai shang 	帶上	c=1 d=1.00016 t=6247
dai yi xia 	帶一下	c=1 d=1 t=6072
dai you 	帶有	c=2 d=1 t=4484
dan 	但	c=5 d=2.00857 t=6241
dan bu 	但不	c=0 d=0.1 t=3892
dan bu shi yong 	但不使用	c=1 d=1 t=3893
dan du 	單獨	c=1 d=1 t=3559
dan ju ti 	但具體	c=1 d=1 t=5941
dan kan qi lai 	但看起來	c=1 d=1 t=4088
dan shi 	但是	c=33 d=3.04193 t=6237
dan shi qian duan 	但是前端	c=1 d=1 t=3089
dan ta 	但他	c=1 d=1 t=4359
dan wei 	單位	c=0 d=0.1 t=3448
dan xian zai 	但現在	c=2 d=1.19989 t=5986
dan xin de 	擔心的	c=1 d=1 t=3646
dan xuan 	單選	c=1 d=1.00001 t=2757
dan xuan kuang 	單選框	c=1 d=1 t=976
dan yuan ge 	單元格	c=6 d=1.00003 t=4701
dang 	當	c=6 d=1.99841 t=5560
dang chang 	當場	c=1 d=1 t=4985
dang chang fa xian 	當場發現	c=1 d=1 t=62
dang chu 	當初	c=1 d=1 t=104
dang qian 	當前	c=5 d=1.04349 t=5940
dang qian shi jian 	當前時間	c=2 d=1.91851 t=5549
dang shi 	當時	c=3 d=1.11136 t=6093
dang shui yi 	當睡衣	c=1 d=1 t=3607
dang tian 	當天	c=2 d=1.92312 t=5554
dang wo 	當我	c=3 d=1.00029 t=2063
dang wo jiang 	當我將	c=1 d=1 t=238
dang zhong 	當中	c=2 d=1 t=5378
dao 	到	c=20 d=2.34846 t=6366
dao di 	到底	c=1 d=1 t=3337
dao le 	到了	c=2 d=0.81182 t=3991
dao li 	道理	c=1 d=1 t=2462
dao ru 	導入	c=3 d=2.78775 t=5635
dao ru 	道如	c=1 d=1 t=5596
dao shen me 	到什麼	c=1 d=1 t=3575
dao shi 	倒是	c=2 d=1.00058 t=6300
dao shi jian 	到時間	c=1 d=1 t=3996
dao shou 	到手	c=1 d=1 t=4817
